series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_width,pixel_half_height,support_pixels,marker_shape,evidence_status,segment_break,status,candidate_id,guide_residual_px
uct-test-a22,0.6400331427916628,0.16305239619697243,0.001434130905212494,0.018982963594536773,347,370.0,,8.0,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000190,0.8646639408916599
uct-test-a22,0.6429014046020878,0.16779813709560665,0.001434130905212605,0.0011864352246585552,348,368.0,,0.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000191,0.49694983158553896
uct-test-a22,0.6457696664125128,0.1559337848490212,0.001434130905212605,0.0023728704493171104,349,373.0,,1.0,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000192,5.163851604558658
uct-test-a22,0.6486379282229378,0.16779813709560665,0.001434130905212605,0.009491481797268442,350,368.0,,4.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000193,0.8478366940388469
uct-test-a22,0.6515061900333627,0.17017100754492376,0.001434130905212605,0.008305046572609887,351,367.0,,3.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000194,0.5557738815699622
uct-test-a22,0.6543744518437877,0.17254387799424087,0.001434130905212605,0.008305046572609887,352,366.0,,3.5,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000195,0.2884316118666561
uct-test-a22,0.6572427136542127,0.17491674844355787,0.001434130905212605,0.0011864352246585552,353,365.0,,0.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000196,0.046578329643693905
uct-test-a22,0.6601109754646377,0.17728961889287498,0.001434130905212605,0.0011864352246585552,354,364.0,,0.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000197,0.16901752038398854
uct-test-a22,0.6629792372750627,0.1796624893421921,0.001434130905212605,0.0011864352246585552,355,363.0,,0.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000198,0.3575874935017396
uct-test-a22,0.6658474990854879,0.1796624893421921,0.001434130905212605,0.007118611347951331,356,363.0,,3.0,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000199,0.48163685500531983
uct-test-a22,0.6687157608959129,0.1820353597915092,0.001434130905212605,0.013050787471243996,357,362.0,,5.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000200,0.3494239698518413
uct-test-a22,0.6715840227063379,0.18678110069014342,0.001434130905212605,0.008305046572609887,358,360.0,,3.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000201,0.7534577042473529
uct-test-a22,0.6744522845167629,0.17254387799424087,0.001434130905212605,0.0035593056739756657,359,366.0,,1.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000202,6.173760277422616
uct-test-a22,0.6773205463271879,0.17728961889287498,0.001434130905212605,0.014237222695902663,360,364.0,,6.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000203,5.131846359576514
uct-test-a22,0.6801888081376128,0.1820353597915092,0.001434130905212605,0.014237222695902552,361,362.0,,6.0,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000204,4.121568986928878
