series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,support_pixels,support_x_min,support_x_max,guide_residual_px,group_assignment_cost,competing_series,line_semantics,evidence_status,segment_break,status,candidate_id
test-0deg,0.028173913043478244,110.64223513749184,8.695652173913021e-05,0.28191598413835095,289,154.0,1.0,3,289,289,5.824657964598458,14.349657964598459,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000059
test-0deg,0.028347826086956504,110.92415112163019,8.695652173913021e-05,0.28191598413835095,290,153.0,1.0,3,290,290,5.5666419691629585,13.916641969162958,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000060
test-0deg,0.028521739130434764,111.34702509783773,8.695652173913021e-05,0.42287397620754064,291,151.5,1.5,4,291,291,4.80431463272231,13.32931463272231,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000061
test-0deg,0.028695652173913025,111.62894108197608,8.695652173913021e-05,0.42287397620754064,292,150.5,1.5,4,292,292,4.539194996127918,11.860869029674097,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000062
mfh-0deg,0.028695652173913025,121.63695851888764,8.695652173913021e-05,0.14095799206918969,292,115.0,0.5,1,292,292,6.971674033546179,11.860869029674097,,dashed,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000001
test-0deg,0.028869565217391285,111.62894108197608,8.695652173913021e-05,0.42287397620754064,293,150.5,1.5,4,293,293,5.272802100231047,12.874484771494267,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000063
mfh-0deg,0.028869565217391285,121.63695851888764,8.695652173913021e-05,0.28191598413836516,293,115.0,1.0,3,293,293,7.6016826712632195,12.874484771494267,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000002
test-0deg,0.029043478260869546,112.33373104232197,8.695652173913021e-05,0.28191598413836516,294,148.0,1.0,3,294,294,3.5066549858831593,12.286453890658496,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000064
mfh-0deg,0.029043478260869546,121.7779165109568,8.695652173913021e-05,0.42287397620754064,294,114.5,1.5,4,294,294,7.729798904775336,12.286453890658496,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000003
test-0deg,0.029217391304347806,112.61564702646032,8.695652173913021e-05,0.28191598413835095,295,147.0,1.0,3,295,295,3.2422726939355755,11.299031931276229,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000065
mfh-0deg,0.029217391304347806,122.05983249509515,8.695652173913021e-05,0.42287397620754064,295,113.5,1.5,4,295,295,7.356759237340654,11.299031931276229,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000004
test-0deg,0.029391304347826067,112.89756301059867,8.695652173913021e-05,0.28191598413835095,296,146.0,1.0,3,296,296,2.9811742652396447,10.664474437456942,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000066
mfh-0deg,0.029391304347826067,122.34174847923352,8.695652173913021e-05,0.4228739762075264,296,112.5,1.5,4,296,296,6.983300172217298,10.664474437456942,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000005
test-0deg,0.029565217391304327,113.17947899473702,8.695652173913021e-05,0.28191598413835095,297,145.0,1.0,3,297,297,2.7248787406467727,10.360036953310209,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000067
mfh-0deg,0.029565217391304327,122.48270647130269,8.695652173913021e-05,0.28191598413835095,297,112.0,1.0,3,297,297,7.1101582126634355,10.360036953310209,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000006
test-0deg,0.029739130434782587,113.60235297094455,8.695652173913021e-05,0.4228739762075264,298,143.5,1.5,4,298,298,1.9749051610082802,9.91297502294547,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000068
mfh-0deg,0.029739130434782587,122.62366446337187,8.695652173913021e-05,0.4228739762075264,298,111.5,1.5,4,298,298,7.238069861937191,9.91297502294547,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000007
test-0deg,0.029913043478260848,113.74331096301373,8.695652173913021e-05,0.28191598413835095,299,143.0,1.0,3,299,299,2.2327725671756014,9.625544190472262,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000069
mfh-0deg,0.029913043478260848,122.90558044751022,8.695652173913021e-05,0.4228739762075264,299,110.5,1.5,4,299,299,6.867771623296662,9.625544190472262,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000008
