series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,support_pixels,guide_residual_px,evidence_status,segment_break,status,candidate_id,support_x_min,support_x_max,group_assignment_cost,competing_series,line_semantics
test-0deg,0.02591304347826085,105.56774742300148,8.695652173913021e-05,0.5638319682767161,276,172.0,2.0,5,1.7932515538553844,visible_pixel_support,False,visible_candidate,line-test-0deg-000056,,,,,
test-0deg,0.02608695652173911,105.84966340713984,8.695652173913021e-05,0.14095799206918969,277,171.0,0.5,1,1.9403269173123476,visible_pixel_support,False,visible_candidate,line-test-0deg-000057,,,,,
test-0deg,0.027130434782608674,108.95073923266172,8.695652173913021e-05,0.14095799206917548,283,160.0,0.5,1,2.0,visible_pixel_support,True,visible_candidate,line-test-0deg-000058,,,,,
test-0deg,0.027304347826086935,109.23265521680008,8.695652173913021e-05,0.14095799206918969,284,159.0,0.5,1,1.7495412413283589,visible_pixel_support,False,visible_candidate,line-test-0deg-000059,,,,,
test-0deg,0.027478260869565195,109.51457120093843,8.695652173913021e-05,0.28191598413835095,285,158.0,1.0,3,1.4507777717892623,visible_pixel_support,False,visible_candidate,line-test-0deg-000060,,,,,
test-0deg,0.027652173913043462,109.51457120093843,8.695652173913715e-05,0.5638319682767161,286,158.0,2.0,5,0.11227906134652699,visible_pixel_support,False,visible_candidate,line-test-0deg-000061,,,,,
test-0deg,0.027826086956521723,109.51457120093843,8.695652173913021e-05,0.28191598413835095,287,158.0,1.0,3,1.257385420036087,visible_pixel_support,False,visible_candidate,line-test-0deg-000062,,,,,
test-0deg,0.027999999999999983,109.79648718507678,8.695652173913021e-05,0.14095799206918969,288,157.0,0.5,2,1.649646202394763,visible_pixel_support,False,visible_candidate,line-test-0deg-000063,,,,,
test-0deg,0.028695652173913025,112.0518150581836,8.695652173913021e-05,0.14095799206917548,292,149.0,0.5,1,0.7267370576865915,visible_pixel_support,True,visible_candidate,line-test-0deg-000064,,,,,
test-0deg,0.028869565217391285,112.33373104232197,8.695652173913021e-05,0.14095799206918969,293,148.0,0.5,2,0.350036819905057,visible_pixel_support,False,visible_candidate,line-test-0deg-000065,,,,,
test-0deg,0.029043478260869546,112.33373104232197,8.695652173913021e-05,0.42287397620754064,294,148.0,1.5,4,0.9978428990696955,visible_pixel_support,False,visible_candidate,line-test-0deg-000066,,,,,
test-0deg,0.029217391304347806,112.33373104232197,8.695652173913021e-05,0.14095799206918969,295,148.0,0.5,2,2.3083326292736785,visible_pixel_support,False,visible_candidate,line-test-0deg-000067,,,,,
test-0deg,0.03043478260869563,115.1528908837055,8.695652173913021e-05,0.14095799206917548,302,138.0,0.5,1,0.12496768069493669,visible_pixel_support,True,visible_candidate,line-test-0deg-000068,,,,,
test-0deg,0.03060869565217389,115.1528908837055,8.695652173913021e-05,0.4228739762075264,303,138.0,1.5,4,0.7905872245932244,visible_pixel_support,False,visible_candidate,line-test-0deg-000069,,,,,
test-0deg,0.03078260869565215,114.87097489956714,8.695652173913021e-05,0.14095799206917548,304,139.0,0.5,1,2.6913220692585185,visible_pixel_support,False,visible_candidate,line-test-0deg-000070,,,,,
test-0deg,0.031130434782608678,115.43480686784386,8.695652173913021e-05,0.14095799206918969,306,137.0,0.5,1,2.447793903580731,visible_pixel_support,True,visible_candidate,line-test-0deg-000071,,,,,
test-0deg,0.03130434782608694,115.43480686784386,8.695652173913021e-05,0.14095799206918969,307,137.0,0.5,1,3.303262056667762,visible_pixel_support,False,visible_candidate,line-test-0deg-000072,,,,,
test-0deg,0.03199999999999998,117.40821875681232,8.695652173913021e-05,0.14095799206918969,311,130.0,0.5,1,0.4297868514598804,visible_pixel_support,True,visible_candidate,line-test-0deg-000073,,,,,
test-0deg,0.03217391304347824,117.69013474095068,8.695652173913021e-05,0.4228739762075264,312,129.0,1.5,2,0.6524515500354937,visible_pixel_support,False,visible_candidate,line-test-0deg-000074,,,,,
test-0deg,0.0323478260869565,117.40821875681232,8.695652173913021e-05,0.42287397620754064,313,130.0,1.5,3,1.10885392620159,visible_pixel_support,False,visible_candidate,line-test-0deg-000075,,,,,
test-0deg,0.033565217391304324,119.3816306457808,8.695652173913021e-05,0.14095799206917548,320,123.0,0.5,1,1.0221339813201809,visible_pixel_support,True,visible_candidate,line-test-0deg-000076,,,,,
